scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
1-hour-battery,12.0,7.5,0.0,461.2717454423461,750.6045755687555
1-hour-battery,12.0,7.5,0.01,461.2717454423461,692.5613070956776
1-hour-battery,12.0,7.5,0.02,461.2717454423461,640.469000992438
1-hour-battery,12.0,7.5,0.03,461.2717454423461,593.6040997406127
1-hour-battery,12.0,7.5,0.04,461.2717454423461,551.3414368298836
1-hour-battery,12.0,10.0,0.0,565.5109297401016,699.2101491289334
1-hour-battery,12.0,10.0,0.01,565.5109297401016,645.8401404891987
1-hour-battery,12.0,10.0,0.02,565.5109297401016,597.9419621141625
1-hour-battery,12.0,10.0,0.03,565.5109297401016,554.8503125481092
1-hour-battery,12.0,10.0,0.04,565.5109297401016,515.9903595506312
1-hour-battery,12.0,12.5,0.0,656.9253677605655,654.9623535545705
1-hour-battery,12.0,12.5,0.01,656.9253677605655,605.3645676102313
1-hour-battery,12.0,12.5,0.02,656.9253677605655,560.8518598419938
1-hour-battery,12.0,12.5,0.03,656.9253677605655,520.8059526810499
1-hour-battery,12.0,12.5,0.04,656.9253677605655,484.692643358086
1-hour-battery,12.0,15.0,0.0,738.7211818866515,617.0818049182502
1-hour-battery,12.0,15.0,0.01,738.7211818866515,570.6040048896816
1-hour-battery,12.0,15.0,0.02,738.7211818866515,528.8914023814968
1-hour-battery,12.0,15.0,0.03,738.7211818866515,491.36461303896937
1-hour-battery,12.0,15.0,0.04,738.7211818866515,457.5230385185621
1-hour-battery,12.0,20.0,0.0,885.5916474461608,558.8025477039621
1-hour-battery,12.0,20.0,0.01,885.5916474461608,517.0137586727758
1-hour-battery,12.0,20.0,0.02,885.5916474461608,479.50942014804286
1-hour-battery,12.0,20.0,0.03,885.5916474461608,445.7686001890791
1-hour-battery,12.0,20.0,0.04,885.5916474461608,415.3412043732875
1-hour-battery,12.0,25.0,0.0,1005.7216718441028,509.85343831833677
1-hour-battery,12.0,25.0,0.01,1005.7216718441028,471.8875059250184
1-hour-battery,12.0,25.0,0.02,1005.7216718441028,437.8140806380714
1-hour-battery,12.0,25.0,0.03,1005.7216718441028,407.15988559783835
1-hour-battery,12.0,25.0,0.04,1005.7216718441028,379.5160012157146
1-hour-battery,12.0,30.0,0.0,1105.050561448048,468.1572665026057
1-hour-battery,12.0,30.0,0.01,1105.050561448048,433.39427318673205
1-hour-battery,12.0,30.0,0.02,1105.050561448048,402.19540143960944
1-hour-battery,12.0,30.0,0.03,1105.050561448048,374.1273016956755
1-hour-battery,12.0,30.0,0.04,1105.050561448048,348.8155522555463
3-hour-battery,0.0,2.5,0.0,87.91308441590377,299.6639309612015
3-hour-battery,0.0,2.5,0.01,87.91308441590377,266.47679467028087
3-hour-battery,0.0,2.5,0.02,87.91308441590377,236.69221313593061
3-hour-battery,0.0,2.5,0.03,87.91308441590377,209.89648115839276
3-hour-battery,0.0,2.5,0.04,87.91308441590377,185.7321501182454
3-hour-battery,0.0,5.0,0.0,150.05333430228598,312.2857783769581
3-hour-battery,0.0,5.0,0.01,150.05333430228598,283.96325682352165
3-hour-battery,0.0,5.0,0.02,150.05333430228598,258.5445390085256
3-hour-battery,0.0,5.0,0.03,150.05333430228598,235.67656119262855
3-hour-battery,0.0,5.0,0.04,150.05333430228598,215.0542700521849
3-hour-battery,0.0,7.5,0.0,192.92518034767954,282.91068680394096
3-hour-battery,0.0,7.5,0.01,192.92518034767954,258.63430710199594
3-hour-battery,0.0,7.5,0.02,192.92518034767954,236.84689512848234
3-hour-battery,0.0,7.5,0.03,192.92518034767954,217.24582566060468
3-hour-battery,0.0,7.5,0.04,192.92518034767954,199.5696251462927
3-hour-battery,0.0,10.0,0.0,222.90677018612746,251.37358478087012
3-hour-battery,0.0,10.0,0.01,222.90677018612746,230.33679198863106
3-hour-battery,0.0,10.0,0.02,222.90677018612746,211.45682402004527
3-hour-battery,0.0,10.0,0.03,222.90677018612746,194.4714397920589
3-hour-battery,0.0,10.0,0.04,222.90677018612746,179.15405836455312
3-hour-battery,0.0,12.5,0.0,246.06770843511322,225.31880730472298
3-hour-battery,0.0,12.5,0.01,246.06770843511322,206.74072502974067
3-hour-battery,0.0,12.5,0.02,246.06770843511322,190.0673850518511
3-hour-battery,0.0,12.5,0.03,246.06770843511322,175.06719615537003
3-hour-battery,0.0,12.5,0.04,246.06770843511322,161.54005942840317
3-hour-battery,0.0,15.0,0.0,266.98363895005446,205.99257436569408
3-hour-battery,0.0,15.0,0.01,266.98363895005446,189.19488061291878
3-hour-battery,0.0,15.0,0.02,266.98363895005446,174.11939248454243
3-hour-battery,0.0,15.0,0.03,266.98363895005446,160.5567127855631
3-hour-battery,0.0,15.0,0.04,266.98363895005446,148.32591863101817
