name,scenario,pv_kwp,battery_kwh,battery_kw,orientation,ev_kwh_per_day,ev_charge_kw,connection_kw,battery_efficiency,ev_efficiency,annual_bill,imported_kwh,exported_kwh,solar_available_kwh,solar_curtailed_kwh,base_load_kwh,ev_charge_kwh,battery_charge_kwh,battery_discharge_kwh,peak_import_kw,peak_export_kw,solar_curtailed_share,solar_to_load_share,solar_to_export_share,solar_to_battery_share,solar_to_ev_share,ev_from_solar_share,ev_from_grid_share,ev_from_battery_share,load_from_solar_share,load_from_grid_share,load_from_battery_share,battery_from_solar_share,battery_from_grid_share,self_consumption,self_sufficiency,capex,annual_savings,npv,irr,payback_years,lifetime_years,cycles_per_year
low-mileage|pv=12.0|bat=12.5,low-mileage,12.0,12.5,6.25,south,5.0,12.0,17.25,0.95,0.92,-825.2054556332665,872.3088406515656,9620.26332231399,14367.641529475557,303.1429917533409,3500.0,1426.086956521739,4059.495892697976,3669.038793159923,17.25,10.74964724380634,0.021099008569460467,0.08089402912724503,0.5814039543661907,0.27472161360371233,0.04188139433339166,0.42194962781542544,0.31335434925435773,0.2646960229302169,0.33207326067863097,0.08944116067709279,0.5784855786442763,0.9723132548938128,0.027686745106187242,0.4085485158677602,0.9107668244142847,5400.0,630.1758217534873,2837.371528609207,0.061479666626672674,9.307557302457624,15.0,293.52310345279386
slow-charger|pv=00.0|bat=02.5,slow-charger,0.0,2.5,1.25,south,10.0,4.0,17.25,0.95,0.92,1263.0234692475842,6418.604143565654,5.87797657342651,0.0,0.0,3500.0,2839.130434782604,765.7895611243459,692.1938289147223,6.429213558739997,0.9171151468928354,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8039097564739139,0.19609024352608606,0.0,1.0,NaN,0.1960902435260845,1400.0,93.24902724146796,-181.09115654099304,-0.017626308690562434,Inf,15.0,276.87753156588894
slow-charger|pv=03.0|bat=07.5,slow-charger,3.0,7.5,3.75,south,10.0,4.0,17.25,0.95,0.92,571.6525880150499,3718.843575851368,730.2545926181722,3591.9103823688893,35.89030720124448,3500.0,2839.1304347826044,2140.357678135755,1934.8790545175189,8.144774998606097,3.820315456868308,0.00999198292290761,0.2597065656109889,0.1606519874618529,0.4900875822610855,0.07956188174316443,0.10065728068459122,0.8317662684239464,0.06757645089146236,0.26652648839642273,0.27924104154322743,0.45423247006034984,0.8224563085768551,0.17754369142314488,0.8383556273239999,0.7267064242451645,3400.0,371.85659148135267,1460.7401199095732,0.051143938293957886,9.996341937323091,15.0,257.9838739356692
slow-charger|pv=06.0|bat=10.0,slow-charger,6.0,10.0,5.0,south,10.0,4.0,17.25,0.95,0.92,126.44174747053745,2592.579017607206,3053.989911856799,7183.8207647377785,92.85142100072584,3500.0,2839.130434782605,3022.5950226138816,2732.167007909028,9.394774998606104,5.936801605213233,0.012925074837124653,0.14826905244793964,0.3634234109794942,0.39480039410146595,0.0805820676339763,0.2038959265986627,0.6254052717988526,0.17069880160248463,0.3043252279267155,0.18015774937956847,0.515517022693716,0.9383246011634413,0.06167539883655879,0.6330860172121473,0.8227950542150625,4400.0,522.0043049983931,2423.4026939346077,0.0641638901861574,9.139655385397784,15.0,273.2167007909028
slow-charger|pv=09.0|bat=15.0,slow-charger,9.0,15.0,7.5,south,10.0,4.0,17.25,0.95,0.92,-347.7242733003607,1721.873685457379,5576.188890862833,10775.731147106668,152.30214936381208,3500.0,2839.1304347826044,4475.854949279953,4045.8715917251575,11.72669881379932,9.116242198840437,0.014133811180386204,0.10359598078120863,0.4149415684664063,0.3993292289772856,0.06799941059471148,0.25808725015003936,0.38790657918693816,0.35400617066302237,0.31894926766260995,0.12793307771314374,0.5531176546242464,0.9613949646274554,0.03860503537254455,0.5810195459747559,0.8730685526151608,6400.0,723.2657081347947,3054.200155174338,0.056315479712159736,9.643050185524775,15.0,269.7247727816772
slow-charger|pv=12.0|bat=15.0,slow-charger,12.0,15.0,7.5,south,10.0,4.0,17.25,0.95,0.92,-643.817375533644,1479.8647371592174,8798.904260991501,14367.641529475557,257.97870561045005,3500.0,2839.130434782605,4696.465284617603,4244.972419367387,11.708800295176522,11.99964724380634,0.017955536062143576,0.0798678466934235,0.524648461909134,0.3169370801435894,0.06059107519171097,0.30662587304012395,0.3481647694215685,0.34520935753830767,0.32786074029206186,0.09958646121700394,0.5725527984909342,0.9695884200009607,0.030411579999039297,0.46772239364663537,0.9009955901796441,6400.0,749.1395096688933,3392.4107128260425,0.061971150385379536,9.27649028133563,15.0,282.99816129115914
small-connection|pv=00.0|bat=02.5,small-connection,0.0,2.5,1.25,south,10.0,12.0,9.2,0.95,0.92,1249.6959449275234,6417.99174780892,5.87797657342651,0.0,0.0,3500.0,2839.1304347826085,759.5085790039498,686.5252425510647,9.20000000000003,0.9405300049451922,NaN,NaN,NaN,NaN,NaN,0.0,1.0,6.121527076657774e-18,0.0,0.8055293525778163,0.19447064742218376,0.0,1.0,NaN,0.19447064742218234,1400.0,92.43998428810278,-191.66659780582657,-0.018700467837181857,Inf,15.0,274.6100970204259
small-connection|pv=03.0|bat=07.5,small-connection,3.0,7.5,3.75,south,10.0,12.0,9.2,0.95,0.92,562.3376529082269,3722.3629722066007,736.9512847150069,3591.9103823688893,34.164899810701435,3500.0,2839.1304347826085,2125.4665155607527,1921.4397802935794,9.200000000000038,3.806125615661524,0.009511623669232375,0.2609587907318885,0.16135629891895006,0.5052816840700768,0.06289160260985258,0.07956696797392648,0.8607640238568367,0.05966900816923678,0.2678115970858002,0.2765718989657457,0.4556165039484542,0.8538956100907203,0.14610438990927968,0.8377228481093331,0.7284528128974471,3400.0,369.5677092934818,1430.8208936938713,0.05017909928700867,10.065573484563448,15.0,256.1919707058106
small-connection|pv=06.0|bat=10.0,small-connection,6.0,10.0,5.0,south,10.0,12.0,9.2,0.95,0.92,117.93981163226783,2601.888437405326,3069.7608438180177,7183.8207647377785,87.36868098603651,3500.0,2839.1304347826085,3012.556333912219,2723.107091355778,9.200000000000033,5.936801605213233,0.01216186815446329,0.14851152882358315,0.36398138096404115,0.39776513410732134,0.07758008795059237,0.19630005015684432,0.6455783222726569,0.15812162757049877,0.30482291559023167,0.1754069915947992,0.5197700928149692,0.9485211604916484,0.05147883950835166,0.6328760410520441,0.8273913764785493,4400.0,519.1041889680378,2385.4936971221955,0.06325320761413018,9.196136694098229,15.0,272.3107091355778
small-connection|pv=09.0|bat=12.5,small-connection,9.0,12.5,6.25,south,10.0,12.0,9.2,0.95,0.92,-277.251254531833,1927.0614442330113,5837.826223759546,10775.731147106668,153.5475897707701,3500.0,2839.1304347826085,3873.149672069265,3500.861329042512,9.200000000000033,9.2,0.014249389454375753,0.1038816833032199,0.4666644443084615,0.3479020051640713,0.06730247776987157,0.25544208786511446,0.4785577721282152,0.2660001400066704,0.3198288829669649,0.12689208848574599,0.553279028547289,0.9679198560856183,0.03208014391438183,0.5282249892155976,0.8745037539349367,5400.0,631.2717257776806,2851.696687232176,0.061761651875810286,9.289714892002035,15.0,280.06890632340094
small-connection|pv=12.0|bat=15.0,small-connection,12.0,15.0,7.5,south,10.0,12.0,9.2,0.95,0.92,-648.032505798659,1501.1118993697219,8846.45171839571,14367.641529475557,232.86819714441032,3500.0,2839.1304347826085,4684.262343821016,4233.9592652984675,9.200000000000028,9.2,0.01620782343898793,0.08008266545053806,0.5257788312605771,0.31784486293903574,0.06008581691086246,0.30406897400861205,0.36670283703633405,0.32922818895505396,0.3287425799766419,0.09783240659744688,0.5734250134259113,0.9748986537266054,0.025101346273394463,0.4674950817130795,0.903016035535001,6400.0,725.2436828898045,3080.055340931685,0.0567509946571783,9.614104475444874,15.0,282.26395101989783
