scenario,pv_kwp,battery_kwh,capex_per_kwh,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
base,12.0,5.0,200.0,336.2289616935568,324.4834045673266,1400.0,2995.0319586075325,0.20999805879306904,4.305992016715347,15.0
base,12.0,5.0,250.0,336.2289616935568,324.4834045673266,1650.0,2745.0319586075325,0.1693803315645232,5.1144017031738835,15.0
base,12.0,5.0,300.0,336.2289616935568,324.4834045673266,1900.0,2495.0319586075325,0.13821717043066195,5.936974817862719,15.0
base,12.0,5.0,350.0,336.2289616935568,324.4834045673266,2150.0,2245.031958607533,0.11329504760271214,6.775048910766893,15.0
base,12.0,5.0,400.0,336.2289616935568,324.4834045673266,2400.0,1995.031958607533,0.09273805120776948,7.626948195793826,15.0
base,12.0,7.5,100.0,454.4586701066065,313.14279152336894,1150.0,4790.476896827324,0.3726594490981642,2.5731811062364005,15.0
base,12.0,7.5,150.0,454.4586701066065,313.14279152336894,1525.0,4415.476896827324,0.2720482119808729,3.4411859410886683,15.0
base,12.0,7.5,200.0,454.4586701066065,313.14279152336894,1900.0,4040.476896827324,0.20892948157034424,4.324389148581204,15.0
base,12.0,7.5,250.0,454.4586701066065,313.14279152336894,2275.0,3665.476896827324,0.1647939168161906,5.223466045533625,15.0
base,12.0,7.5,300.0,454.4586701066065,313.14279152336894,2650.0,3290.476896827324,0.13169135279449276,6.139113182699604,15.0
base,12.0,7.5,350.0,454.4586701066065,313.14279152336894,3025.0,2915.476896827324,0.10562979319797698,7.072048930193252,15.0
base,12.0,7.5,400.0,454.4586701066065,313.14279152336894,3400.0,2540.476896827324,0.08437443836763572,8.02301407796665,15.0
base,12.0,10.0,100.0,557.424387359951,303.1016846037938,1400.0,5886.397889742398,0.37570227467303985,2.553468762141166,15.0
base,12.0,10.0,150.0,557.424387359951,303.1016846037938,1900.0,5386.397889742398,0.26716813495889247,3.4973842124855,15.0
base,12.0,10.0,200.0,557.424387359951,303.1016846037938,2400.0,4886.397889742397,0.20130652504677976,4.4596046379950165,15.0
base,12.0,10.0,250.0,557.424387359951,303.1016846037938,2900.0,4386.397889742397,0.1560995529274441,5.440900539342705,15.0
base,12.0,10.0,300.0,557.424387359951,303.1016846037938,3400.0,3886.3978897423967,0.12257533690010852,6.442066242312249,15.0
base,12.0,10.0,350.0,557.424387359951,303.1016846037938,3900.0,3386.3978897423967,0.09637593304989588,7.463920549343297,15.0
