scenario,pv_kwp,battery_kwh,capex_per_kwh,discount_rate,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
efficient,3.0,2.5,100.0,0.01,185.0502694220811,355.90593841828843,650.0,1594.2519870717958,0.2579671709149669,3.6079089683751264,15.0
efficient,3.0,2.5,100.0,0.02,185.0502694220811,355.90593841828843,650.0,1437.5163636382956,0.2579671709149669,3.6079089683751264,15.0
efficient,3.0,2.5,100.0,0.03,185.0502694220811,355.90593841828843,650.0,1296.5089853069014,0.2579671709149669,3.6079089683751264,15.0
efficient,3.0,2.5,100.0,0.04,185.0502694220811,355.90593841828843,650.0,1169.3488475670774,0.2579671709149669,3.6079089683751264,15.0
efficient,3.0,2.5,150.0,0.0,185.0502694220811,355.90593841828843,775.0,1643.8928995362212,0.2084751028265418,4.332252561987604,15.0
efficient,3.0,2.5,150.0,0.01,185.0502694220811,355.90593841828843,775.0,1469.251987071796,0.2084751028265418,4.332252561987604,15.0
efficient,3.0,2.5,150.0,0.02,185.0502694220811,355.90593841828843,775.0,1312.5163636382956,0.2084751028265418,4.332252561987604,15.0
efficient,3.0,2.5,150.0,0.03,185.0502694220811,355.90593841828843,775.0,1171.5089853069014,0.2084751028265418,4.332252561987604,15.0
efficient,3.0,2.5,150.0,0.04,185.0502694220811,355.90593841828843,775.0,1044.3488475670774,0.2084751028265418,4.332252561987604,15.0
efficient,3.0,2.5,200.0,0.0,185.0502694220811,355.90593841828843,900.0,1518.8928995362212,0.17147087273278877,5.065916340192187,15.0
efficient,3.0,2.5,200.0,0.01,185.0502694220811,355.90593841828843,900.0,1344.251987071796,0.17147087273278877,5.065916340192187,15.0
efficient,3.0,2.5,200.0,0.02,185.0502694220811,355.90593841828843,900.0,1187.5163636382956,0.17147087273278877,5.065916340192187,15.0
efficient,3.0,2.5,200.0,0.03,185.0502694220811,355.90593841828843,900.0,1046.5089853069012,0.17147087273278877,5.065916340192187,15.0
