# run started 2026-08-16 14:16:15
# name	seconds	imported_kwh	annual_bill_eur	npv_eur
low-mileage|pv=00.0|bat=05.0      	  820.7	  5082.0	   885.68	  -371.08
base|pv=03.0|bat=25.0             	  816.8	  4139.7	   382.59	 -3252.92
small-connection|pv=06.0|bat=07.5 	  809.7	  2898.9	   202.61	  2278.74
high-mileage|pv=06.0|bat=25.0     	  813.1	  4435.3	   392.37	   313.94
lossy|pv=03.0|bat=10.0            	  815.4	  3955.7	   605.07	   467.56
small-connection|pv=03.0|bat=05.0 	  812.4	  3977.1	   639.53	  1421.83
small-connection|pv=09.0|bat=02.5 	  818.9	  3690.6	   167.37	  1039.76
low-mileage|pv=06.0|bat=12.5      	  807.2	  1369.2	  -230.92	  2235.47
east-west|pv=06.0|bat=02.5        	  815.5	  3902.9	   541.69	   949.16
efficient|pv=03.0|bat=20.0        	  816.8	  3749.4	   351.43	 -1085.75
slow-charger|pv=03.0|bat=30.0     	  816.9	  4388.6	   364.43	 -4830.59
high-mileage|pv=03.0|bat=15.0     	  815.1	  6446.3	  1042.31	   -30.95
east-west|pv=03.0|bat=07.5        	  822.2	  4130.2	   663.69	   715.63
lossy|pv=00.0|bat=02.5            	  829.9	  6693.2	  1317.26	  -479.43
lossy|pv=12.0|bat=20.0            	  814.1	  1594.7	  -668.06	  1904.40
low-mileage|pv=12.0|bat=15.0      	  809.2	   821.4	  -899.77	  2812.11
small-connection|pv=12.0|bat=10.0 	  817.9	  1938.6	  -479.76	  2880.44
lossy|pv=09.0|bat=12.5            	  818.1	  2275.4	  -175.73	  2106.96
low-mileage|pv=00.0|bat=15.0      	  831.2	  5457.6	   765.64	 -2801.93
efficient|pv=09.0|bat=25.0        	  818.6	  1600.9	  -643.53	  2408.18
high-mileage|pv=09.0|bat=20.0     	  823.7	  3707.1	    79.54	  2634.96
high-mileage|pv=12.0|bat=30.0     	  827.3	  2674.6	  -509.77	  2642.57
low-mileage|pv=09.0|bat=05.0      	  820.9	  1828.1	  -261.48	  2038.91
east-west|pv=12.0|bat=07.5        	  826.0	  2288.6	  -178.61	  2213.32
low-mileage|pv=09.0|bat=10.0      	  823.1	  1169.7	  -464.67	  2694.87
high-mileage|pv=00.0|bat=30.0     	  839.5	 10184.1	  1529.21	 -7035.16
lossy|pv=00.0|bat=20.0            	  842.2	  7343.8	  1141.26	 -5178.72
efficient|pv=06.0|bat=15.0        	  829.3	  2118.0	   -69.27	  2559.97
lossy|pv=12.0|bat=05.0            	  829.3	  3085.5	  -185.20	  1592.71
