name,forecast,window_hours,pv_kwp,battery_kwh,annual_bill,imported_kwh,exported_kwh,curtailed_kwh,battery_discharge_kwh,cycles_per_year,self_consumption,self_sufficiency,annual_savings,npv
load-only|w=06.0|pv=06.0|bat=15.0,load-only,6.0,6.0,15.0,183.95443570525697,3808.9268032218797,4248.869011145925,76.64524095474921,3102.8241043223297,206.85494028815532,0.6307912304518377,0.7357760231444846,520.665250907128,405.8991883003185
load-only|w=06.0|pv=06.0|bat=20.0,load-only,6.0,6.0,20.0,132.17462878995468,3865.226135099396,4270.318786079508,70.5058071531007,3504.1580955827103,175.2079047791355,0.6847240482023988,0.7353889196832396,572.4450578224303,-917.2587423639219
load-only|w=06.0|pv=12.0|bat=00.0,load-only,6.0,12.0,0.0,153.0419049683196,4610.9595934294775,12125.292409602775,514.1782785196489,0.0,NaN,0.12474648469103106,0.3456899805482828,0.0,NaN
load-only|w=06.0|pv=12.0|bat=05.0,load-only,6.0,12.0,5.0,-176.66895811312475,3283.880160736778,10768.108209527565,374.0932225994634,1597.2699028787974,319.4539805757595,0.24341491279734587,0.7502623454834972,329.71086308144436,1909.830340147018
load-only|w=06.0|pv=12.0|bat=10.0,load-only,6.0,12.0,10.0,-326.9481305919318,3210.5908026560055,10631.908800859217,314.9001600945653,2749.429488170668,274.9429488170668,0.3287691490754049,0.788358206204013,479.9900355602514,1874.2112858890496
load-only|w=06.0|pv=12.0|bat=15.0,load-only,6.0,12.0,15.0,-451.0031698392868,3258.6457149409316,10632.432515941968,254.21185612920317,3773.076665644546,251.5384443763031,0.4034850624228285,0.7906894481953746,604.0450748076064,1495.802297478831
load-only|w=06.0|pv=12.0|bat=20.0,load-only,6.0,12.0,20.0,-560.1117673289012,3310.2733044434576,10630.223146861646,214.74722925120818,4658.637495166706,232.93187475833528,0.46793675463712814,0.7904507929042467,713.1536722972209,922.0202250193977
load-only|w=12.0|pv=00.0|bat=00.0,load-only,12.0,0.0,0.0,1374.4181283890534,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
load-only|w=12.0|pv=00.0|bat=05.0,load-only,12.0,0.0,5.0,1224.9761154859343,6491.711253369005,28.705559975485563,0.0,1168.563291244566,233.71265824891321,NaN,0.32563082027231083,149.44201290311912,-446.5620232130224
load-only|w=12.0|pv=00.0|bat=10.0,load-only,12.0,0.0,10.0,1181.6366128183893,6674.997760829585,175.49680318182325,0.0,1528.3015065210243,152.83015065210242,NaN,0.3823181756830528,192.78151557066417,-1880.0477695491118
load-only|w=12.0|pv=00.0|bat=15.0,load-only,12.0,0.0,15.0,1155.0652020265447,6889.941880706569,367.3054397270085,0.0,1764.376108643569,117.62507390957127,NaN,0.38691704754169787,219.3529263625087,-3532.7183811846357
load-only|w=12.0|pv=00.0|bat=20.0,load-only,12.0,0.0,20.0,1129.793483355929,7097.56720869725,552.9626715120887,0.0,1989.644896597972,99.4822448298986,NaN,0.3895269968366917,244.62464503312435,-5202.3779766970365
load-only|w=12.0|pv=06.0|bat=00.0,load-only,12.0,6.0,0.0,701.4371287191898,5018.318313173927,5626.726874624357,236.2817685047375,0.0,NaN,0.19011222856393148,0.3152856896267605,0.0,NaN
load-only|w=12.0|pv=06.0|bat=05.0,load-only,12.0,6.0,5.0,376.71144740453747,3677.8999597049633,4179.4850120382025,176.6673809055178,1562.5405311442107,312.50810622884217,0.41455265480719566,0.7325722465645793,324.7256813146523,1844.666313008607
load-only|w=12.0|pv=06.0|bat=10.0,load-only,12.0,6.0,10.0,206.77088840987432,3299.395287004846,3741.2232501407943,115.5005557026212,2703.7849695664645,270.3784969566465,0.5824706260524165,0.8068658217587611,494.66624030931547,2066.05195475443
load-only|w=12.0|pv=06.0|bat=15.0,load-only,12.0,6.0,15.0,86.2421973209216,3174.25694497065,3557.388428104996,84.23372204340083,3558.4453857602293,237.2296923840153,0.7059930071793024,0.8083792279708073,615.1949313982682,1641.5481481724196
load-only|w=12.0|pv=06.0|bat=20.0,load-only,12.0,6.0,20.0,-6.872888259558408,3121.830263342107,3442.907870308722,73.90168850862544,4250.402139673179,212.52010698365893,0.8052888636301638,0.8088792749073127,708.3100169787482,858.7061672001661
load-only|w=12.0|pv=12.0|bat=00.0,load-only,12.0,12.0,0.0,150.71667113917806,4603.527472625581,12118.394022828466,513.644544490062,0.0,NaN,0.12527813915637614,0.3456899805482828,0.0,NaN
load-only|w=12.0|pv=12.0|bat=05.0,load-only,12.0,12.0,5.0,-182.33185817301774,3211.1481111811822,10602.01322344543,463.38700087495357,1634.935701048763,326.98714020975257,0.24567702469110783,0.7706361489409852,333.0485293121958,1953.4587940357912
load-only|w=12.0|pv=12.0|bat=10.0,load-only,12.0,12.0,10.0,-377.9751621581376,2743.7093054054367,10076.79444843295,380.6793886803349,2957.2694676313104,295.726946763131,0.3460531779782938,0.8636441933587355,528.6918332973157,2510.8190201481875
load-only|w=12.0|pv=12.0|bat=15.0,load-only,12.0,12.0,15.0,-529.3934472948506,2595.074684104938,9893.417634298517,296.7655390903356,4077.5215526323195,271.83477017548796,0.4286936868961246,0.866808135152787,680.1101184340287,2490.089928107436
load-only|w=12.0|pv=12.0|bat=20.0,load-only,12.0,12.0,20.0,-662.246738684231,2534.3926170184136,9785.203193067227,235.31102755678768,5108.2719559623365,255.41359779811683,0.5043306418497876,0.8672823033714792,812.963409823409,2226.687687329303
load-only|w=24.0|pv=00.0|bat=00.0,load-only,24.0,0.0,0.0,1338.814211402097,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
load-only|w=24.0|pv=00.0|bat=05.0,load-only,24.0,0.0,5.0,1184.0571751366463,6494.796080463672,29.893929814609233,0.0,1186.117677635633,237.22353552712661,NaN,0.33014550731387954,154.75703626545078,-377.0864568592723
load-only|w=24.0|pv=00.0|bat=10.0,load-only,24.0,0.0,10.0,1108.3936373822235,6655.941187873068,121.58650300262151,0.0,1850.9219046592116,185.09219046592116,NaN,0.4520625615877689,230.42057401987358,-1388.0471282511658
load-only|w=24.0|pv=00.0|bat=15.0,load-only,24.0,0.0,15.0,1059.6216958829918,6851.019735629116,269.01723154537666,0.0,2313.892744043792,154.25951626958613,NaN,0.46700111957165247,279.1925155191052,-2750.5225066576672
load-only|w=24.0|pv=00.0|bat=20.0,load-only,24.0,0.0,20.0,1016.3866202977808,7052.883768230021,428.106168148937,0.0,2731.7596582756187,136.58798291378093,NaN,0.4752236173676536,322.4275911043162,-4185.3732762858945
load-only|w=24.0|pv=06.0|bat=00.0,load-only,24.0,6.0,0.0,634.4045521384717,4668.522585959111,5303.843766031267,209.36914988301265,0.0,NaN,0.23953250249314212,0.3152856896267605,0.0,NaN
load-only|w=24.0|pv=06.0|bat=05.0,load-only,24.0,6.0,5.0,307.3515546757486,3343.5197008277273,3877.217681781338,146.77230974412004,1542.0111326137098,308.40222652274196,0.4578412673999554,0.7260261812021225,327.05299746272306,1875.0879304595057
load-only|w=24.0|pv=06.0|bat=10.0,load-only,24.0,6.0,10.0,117.79984619217578,2645.520180595056,3095.034637225354,105.26403176076784,2727.389097554897,272.7389097554897,0.6305495564602038,0.8240250522458786,516.6047059462959,2352.821592657367
load-only|w=24.0|pv=06.0|bat=15.0,load-only,24.0,6.0,15.0,-15.639873400501529,2261.9401680787696,2634.7450387371546,86.08031185275972,3636.939954545973,242.4626636363982,0.7577149853353652,0.8281238823681687,650.0444255389732,2097.084874450333
load-only|w=24.0|pv=06.0|bat=20.0,load-only,24.0,6.0,20.0,-102.10188678479471,2228.3221424124795,2541.5984054811142,75.50519852502266,4307.771832782186,215.38859163910928,0.8465413081144195,0.8288049521162635,736.5064389232664,1227.2769617573758
load-only|w=24.0|pv=12.0|bat=00.0,load-only,24.0,12.0,0.0,76.93588660375099,4247.392148086992,11806.569188077512,469.334054702425,0.0,NaN,0.15050309474677684,0.3456899805482828,0.0,NaN
load-only|w=24.0|pv=12.0|bat=05.0,load-only,24.0,12.0,5.0,-259.0555853471155,2821.8538838150153,10284.867028462682,392.87255423086015,1619.8145612565354,323.9629122513071,0.270292670880762,0.7659069476640608,335.99147195086647,1991.9276007803305
load-only|w=24.0|pv=12.0|bat=10.0,load-only,24.0,12.0,10.0,-479.20495832703233,1980.2296555030398,9361.37002258089,325.84101258399573,3020.05710580071,302.00571058007097,0.37634821373029803,0.8869454280414224,556.1408449307833,2869.620007289896
load-only|w=24.0|pv=12.0|bat=15.0,load-only,24.0,12.0,15.0,-649.155555253891,1552.111810660066,8873.438296306245,256.28135734798747,4239.514714442565,282.634314296171,0.4662880195384395,0.8968870277344695,726.0914418576419,3091.1368603167916
